job,ran_at,duration_s,rows,errors
daily_revenue,2026-03-09T05:19:31.841461+00:00,3.222,1,0
category_revenue,2026-03-09T05:19:34.492156+00:00,2.648,1,0
analytics_user_ltv,2026-03-09T05:19:38.083946+00:00,3.591,1,0
daily_revenue,2026-03-09T05:21:31.693067+00:00,3.088,1,0
category_revenue,2026-03-09T05:21:34.203681+00:00,2.51,1,0
analytics_user_ltv,2026-03-09T05:21:37.910401+00:00,3.706,1,0
daily_revenue,2026-03-09T05:23:31.787834+00:00,3.215,1,0
category_revenue,2026-03-09T05:23:34.335680+00:00,2.548,1,0
analytics_user_ltv,2026-03-09T05:23:38.104761+00:00,3.769,1,0
daily_revenue,2026-03-09T05:25:31.843745+00:00,3.254,1,0
category_revenue,2026-03-09T05:25:34.538976+00:00,2.695,1,0
analytics_user_ltv,2026-03-09T05:25:38.235934+00:00,3.697,1,0
daily_revenue,2026-03-09T05:27:31.818640+00:00,3.207,1,0
category_revenue,2026-03-09T05:27:34.415178+00:00,2.594,1,0
analytics_user_ltv,2026-03-09T05:27:38.930461+00:00,4.515,1,0
daily_revenue,2026-03-09T05:29:32.046477+00:00,3.442,1,0
category_revenue,2026-03-09T05:29:34.586182+00:00,2.537,1,0
analytics_user_ltv,2026-03-09T05:29:38.728307+00:00,4.142,1,0
daily_revenue,2026-03-09T06:03:31.638496+00:00,3.054,1,0
category_revenue,2026-03-09T06:03:34.112842+00:00,2.473,1,0
analytics_user_ltv,2026-03-09T06:03:37.628189+00:00,3.515,1,0
daily_revenue,2026-03-09T06:51:31.598407+00:00,2.996,1,0
category_revenue,2026-03-09T06:51:33.968717+00:00,2.368,1,0
analytics_user_ltv,2026-03-09T06:51:37.438358+00:00,3.469,1,0
daily_revenue,2026-03-09T07:24:21.740299+00:00,3.011,1,0
category_revenue,2026-03-09T07:24:24.136559+00:00,2.395,1,0
analytics_user_ltv,2026-03-09T07:24:27.646826+00:00,3.51,1,0
daily_revenue,2026-03-09T07:25:31.553910+00:00,2.949,1,0
category_revenue,2026-03-09T07:25:33.967575+00:00,2.413,1,0
analytics_user_ltv,2026-03-09T07:25:37.319154+00:00,3.351,1,0
daily_revenue,2026-03-09T07:33:39.204990+00:00,3.078,1,0
category_revenue,2026-03-09T07:33:41.812249+00:00,2.607,1,0
analytics_user_ltv,2026-03-09T07:33:45.358999+00:00,3.546,1,0
daily_revenue,2026-03-09T08:23:32.482467+00:00,3.837,1,0
category_revenue,2026-03-09T08:32:53.298853+00:00,2.894,1,0
analytics_user_ltv,2026-03-09T08:32:56.931019+00:00,3.631,1,0
daily_revenue,2026-03-09T08:41:48.208063+00:00,3.6,1,0
category_revenue,2026-03-09T08:41:50.893416+00:00,2.683,1,0
analytics_user_ltv,2026-03-09T08:41:54.760069+00:00,3.866,1,0
daily_revenue,2026-03-09T08:43:31.950868+00:00,3.329,1,0
category_revenue,2026-03-09T08:43:34.428662+00:00,2.477,1,0
analytics_user_ltv,2026-03-09T08:43:38.002008+00:00,3.573,1,0
daily_revenue,2026-03-09T08:45:31.924582+00:00,3.263,1,0
category_revenue,2026-03-09T08:45:34.439863+00:00,2.513,1,0
analytics_user_ltv,2026-03-09T08:45:38.135569+00:00,3.695,1,0
daily_revenue,2026-03-09T08:47:31.625686+00:00,3.031,1,0
category_revenue,2026-03-09T08:47:34.200684+00:00,2.574,1,0
analytics_user_ltv,2026-03-09T08:47:37.667223+00:00,3.466,1,0
daily_revenue,2026-03-09T08:49:31.634416+00:00,3.103,1,0
category_revenue,2026-03-09T08:49:34.128613+00:00,2.493,1,0
analytics_user_ltv,2026-03-09T08:49:37.626527+00:00,3.497,1,0
daily_revenue,2026-03-09T08:51:32.069606+00:00,3.401,1,0
category_revenue,2026-03-09T08:51:34.623881+00:00,2.553,1,0
analytics_user_ltv,2026-03-09T08:51:38.239774+00:00,3.615,1,0
daily_revenue,2026-03-09T08:53:31.623752+00:00,3.013,1,0
